country_name,region
Afghanistan,South Asia
Albania,Europe and Central Afica
Algeria,Middle East and North Africa
American Samoa,East Asia and Pacific
Andorra,Europe and Central Afica
Angola,Sub-saharan Africa
Antigua and Barbuda,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Armenia,Europe and Central Afica
Aruba,Latin America and the Caribbean
Australia,East Asia and Pacific
Austria,Europe and Central Afica
Azerbaijan,Europe and Central Afica
"Bahamas, The",Latin America and the Caribbean
Bahrain,Middle East and North Africa
Bangladesh,South Asia
Barbados,Latin America and the Caribbean
Belarus,Europe and Central Afica
Belgium,Europe and Central Afica
Belize,Latin America and the Caribbean
Benin,Sub-saharan Africa
Bermuda,North America
Bhutan,South Asia
Bolivia,Latin America and the Caribbean
Bosnia and Herzegovina,Europe and Central Afica
Botswana,Sub-saharan Africa
Brazil,Latin America and the Caribbean
Brunei Darussalam,East Asia and Pacific
Bulgaria,Europe and Central Afica
Burkina Faso,Sub-saharan Africa
Burundi,Sub-saharan Africa
Cabo Verde,Sub-saharan Africa
Cambodia,East Asia and Pacific
Cameroon,Sub-saharan Africa
Canada,North America
Cayman Islands,Latin America and the Caribbean
Central African Republic,Sub-saharan Africa
Chad,Sub-saharan Africa
Channel Islands,Europe and Central Afica
Chile,Latin America and the Caribbean
China,East Asia and Pacific
Colombia,Latin America and the Caribbean
Comoros,Sub-saharan Africa
"Congo, Dem. Rep.",Sub-saharan Africa
"Congo, Rep.",Sub-saharan Africa
Costa Rica,Latin America and the Caribbean
Cote d'Ivoire,Sub-saharan Africa
Croatia,Europe and Central Afica
Cuba,Latin America and the Caribbean
Curacao,Latin America and the Caribbean
Cyprus,Europe and Central Afica
Czech Republic,Europe and Central Afica
Denmark,Europe and Central Afica
Djibouti,Middle East and North Africa
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
"Egypt, Arab Rep.",Middle East and North Africa
El Salvador,Latin America and the Caribbean
Equatorial Guinea,Sub-saharan Africa
Eritrea,Sub-saharan Africa
Estonia,Europe and Central Afica
Ethiopia,Sub-saharan Africa
Faeroe Islands,Europe and Central Afica
Fiji,East Asia and Pacific
Finland,Europe and Central Afica
France,Europe and Central Afica
